,index,trial,generated_id,smiles,reward,depth,elapsed_time,is_through_filter,SINCHO_MW,SINCHO_LogP,canonical_smiles,MW,LogP,donor,acceptor,Choice_idx
0,0,3,3064,N(C(=O)c1nnc2ccccc2c1N)c1ncc2CN(CCN2C(C)C)C(=O)C1,1.0,39,58.3,1,205.12151210000005,0.8271000000000001,CC(C)N1CCN2CC1=CN=C(NC(=O)c1nnc3ccccc3c1N)CC2=O,393.19132297600004,1.138,3,9,0
1,1,2,9094,N(C(=O)c1nnc2ccccc2c1N)C1CCN(C(=O)CN2C(=O)C(C)(C)C2)CC1,1.0,44,178.0,1,222.136827816,0.4902999999999998,CC1(C)CN(CC(=O)N2CCC(NC(=O)c3nnc4ccccc4c3N)CC2)C1=O,410.20663869199996,0.8011999999999997,3,9,1
2,2,1,5186,N(C(=O)c1nnc2ccccc2c1N)c1ncc2COC(C)COCc2c1,1.0,38,86.6,1,177.07897859199997,1.9837,CC1COCc2cc(NC(=O)c3nnc4ccccc4c3N)ncc2CO1,365.14878946799996,2.2946,3,8,2
3,3,4,6276,N(C(=O)c1nnc2ccccc2c1N)c1ncc2CC(=O)CC12CCC(=O)N1CCCC1,1.0,38,113.6,1,244.121177752,1.6788000000000007,Nc1c(C(=O)NC2=NC=C3CC(=O)CC32CCC(=O)N2CCCC2)nnc2ccccc12,432.19098862799996,1.9897000000000005,3,9,3
4,4,2,3592,N(C(=O)c1nnc2ccccc2c1N)C1CCN(C(=O)C2(N(C)C)CC2)CC1,1.0,39,68.7,1,194.141913196,0.7160999999999998,CN(C)C1(C(=O)N2CCC(NC(=O)c3nnc4ccccc4c3N)CC2)CC1,382.211724072,1.0269999999999997,3,8,4
5,5,2,6938,N(C(=O)c1nnc2ccccc2c1N)C1CCN(c2cc(CC)nc(n2)C)CC1,1.0,37,133.1,1,203.14224754400007,1.960720000000001,CCc1cc(N2CCC(NC(=O)c3nnc4ccccc4c3N)CC2)nc(C)n1,391.21205842000006,2.2716200000000004,3,8,5
6,6,4,9015,N(C(=O)c1nnc2ccccc2c1N)c1ncc2C(F)(N3CCCc3n1)C2,1.0,38,162.1,1,177.07022547600005,1.4482000000000004,Nc1c(C(=O)NC2=NC=C3CC3(F)N3CCCC3=N2)nnc2ccccc12,365.14003635200004,1.7591000000000003,3,8,6
7,7,2,3986,N(C(=O)c1nnc2ccccc2c1N)C1CCN(C(=O)C)c2ccc(C#N)cc21,1.0,40,77.4,1,198.07931294,2.000480000000001,CC(=O)N1CCC(NC(=O)c2nnc3ccccc3c2N)c2cc(C#N)ccc21,386.149123816,2.3113800000000007,3,8,7
8,8,2,2910,N(C(=O)c1nnc2ccccc2c1N)C1CCN(C(=O)C2CCN(C)CC2)CC1,1.0,39,53.5,1,208.15756326,0.9637000000000006,CN1CCC(C(=O)N2CCC(NC(=O)c3nnc4ccccc4c3N)CC2)CC1,396.227374136,1.2746000000000004,3,8,8
9,9,1,10095,N(C(=O)c1nnc2ccccc2c1N)c1nc(OC(F)F)c(cc1)C#N,1.0,36,159.8,1,168.01351912400006,2.021480000000001,N#Cc1ccc(NC(=O)c2nnc3ccccc3c2N)nc1OC(F)F,356.08333000000005,2.3323800000000006,3,8,9
