,index,trial,generated_id,smiles,reward,depth,elapsed_time,is_through_filter,SINCHO_MW,SINCHO_LogP,canonical_smiles,MW,LogP,donor,acceptor,Choice_idx
0,0,1,6865,NC(=O)c1nnc2ccccc2c1N1CCN(Cc2nc(sc2C#N)C)CC1,1.0,37,152.9,1,205.06736835200005,1.3765999999999998,Cc1nc(CN2CCN(c3c(C(N)=O)nnc4ccccc34)CC2)c(C#N)s1,393.13717922800004,1.6874999999999998,2,8,0
1,1,2,3864,NC(=O)c1nnc2ccccc2c1N1CCN(Cc2cnn(C(C)C)c2)CC1,1.0,35,84.6,1,191.14224754400007,1.5173999999999994,CC(C)n1cc(CN2CCN(c3c(C(N)=O)nnc4ccccc34)CC2)cn1,379.21205842000006,1.8282999999999991,2,8,1
2,2,3,264,NC(=O)c1nnc2ccccc2c1N1CCN(CC1)S(=O)(=O)c1cccc(c1)Cl,1.0,28,3.1,1,243.01207724,1.5820999999999992,NC(=O)c1nnc2ccccc2c1N1CCN(S(=O)(=O)c2cccc(Cl)c2)CC1,431.08188811599996,1.8929999999999991,2,8,2
3,3,4,3870,NC(=O)c1nnc2ccccc2c1N1CCN(c2cc(F)c3c(c2)OCCOCC3)CC1,1.0,37,76.9,1,249.116506972,1.8350000000000004,NC(=O)c1nnc2ccccc2c1N1CCN(c2cc(F)c3c(c2)OCCOCC3)CC1,437.18631784799993,2.1459,2,8,3
4,4,3,3138,NC(=O)c1nnc2ccccc2c1N1CCN(CCCN2CCOCC2)CC1,1.0,30,67.2,1,196.15756326,0.2621000000000003,NC(=O)c1nnc2ccccc2c1N1CCN(CCCN2CCOCC2)CC1,384.227374136,0.5730000000000002,2,8,4
5,5,4,1471,NC(=O)c1nnc2ccccc2c1N1CCN(C(=O)C1)Cc1cccc(C)c1,1.0,33,34.3,1,187.09971403600005,1.575019999999999,Cc1cccc(CN2CCN(c3c(C(N)=O)nnc4ccccc34)CC2=O)c1,375.16952491200004,1.885919999999999,2,7,5
6,6,1,863,NC(=O)c1nnc2ccccc2c1N1CCN(c2cc(CC)c(O)cc2)CC1,1.0,33,17.9,1,189.1153641,2.0124,CCc1cc(N2CCN(c3c(C(N)=O)nnc4ccccc34)CC2)ccc1O,377.185174976,2.3232999999999997,3,7,6
7,7,2,5066,NC(=O)c1nnc2ccccc2c1N1CCN(c2ccnc(n2)C)CCCC1,1.0,38,112.6,1,189.12659748000007,1.62302,Cc1nccc(N2CCCCN(c3c(C(N)=O)nnc4ccccc34)CC2)n1,377.19640835600006,1.9339199999999996,2,8,7
8,8,2,629,NC(=O)c1nnc2ccccc2c1N1CCc2nncc(C(F)(F)F)c2C1,1.0,31,13.3,1,186.04048282,1.7893000000000003,NC(=O)c1nnc2ccccc2c1N1CCc2nncc(C(F)(F)F)c2C1,374.110293696,2.1002,2,7,8
9,9,3,1005,NC(=O)c1nnc2ccccc2c1N1CCN(c2ccc3CN(C)Cc3c2)CC1,1.0,34,14.5,1,200.131348512,1.6897999999999995,CN1Cc2ccc(N3CCN(c4c(C(N)=O)nnc5ccccc45)CC3)cc2C1,388.201159388,2.0006999999999993,2,7,9
