generated_id,smiles,reward,depth,elapsed_time,is_through_filter,SINCHO_MW,SINCHO_LogP
0,NC(=O)c1nnc2ccccc2c1Nc1ccccc1,0.0,22,0.7,1,76.03130012800003,2.1614
1,NC(=O)c1nnc2ccccc2c1N1CCC(N(C)C)CC1,0.0,22,0.7,1,111.10479941600002,0.9481999999999996
2,NC(=O)c1nnc2ccccc2c1NCc1cccnc1,0.0,22,0.7,1,91.04219916000002,1.4249
3,NC(=O)c1nnc2ccccc2c1N,-1.0,22,0.7,1,0.0,0.0
4,NC(=O)c1nnc2ccccc2c1Nc1ccccc1Cl,0.0,22,0.7,1,109.992327776,2.8148000000000013
5,NC(=O)c1nnc2ccccc2c1N1CCCCC1,0.0,22,0.7,1,68.06260025600002,1.4080999999999997
6,NC(=O)c1nnc2ccccc2c1NCCc1ccccc1,0.0,22,0.7,1,104.06260025600002,2.0724000000000005
7,NC(=O)c1nnc2ccccc2c1N,-1.0,22,0.7,1,0.0,0.0
8,NC(=O)c1nnc2ccccc2c1Nc1ccc(C(F)(F)F)cc1,0.0,22,0.7,1,144.01868475600006,3.1802000000000015
9,NC(=O)c1nnc2ccccc2c1N1CCCCC1,0.0,22,0.7,1,68.06260025600002,1.4080999999999997
10,NC(=O)c1nnc2ccccc2c1NCC1(F)CCC(F)CC1,0.4144675457628677,22,0.7,1,132.07505676000002,2.4501000000000013
11,NC(=O)c1nnc2ccccc2c1N,-1.0,22,0.7,1,0.0,0.0
12,NC(=O)c1nnc2ccccc2c1Nc1ccccc1C,0.0,22,0.7,1,90.04695019200003,2.469820000000001
13,NC(=O)c1nnc2ccccc2c1N1CCN(Cc2ccco2)CC1,0.7922210630650629,22,0.7,1,149.084063972,1.3329999999999997
14,NC(=O)c1nnc2ccccc2c1NCc1ccc(cc1)O,0.0,22,0.7,1,106.041864812,1.7355
15,NC(=O)c1nnc2ccccc2c1N,-1.0,22,0.7,1,0.0,0.0
16,NC(=O)c1nnc2ccccc2c1Nc1ccc2c(c1)OCCO2,0.5715492296941165,22,0.7,1,134.03677943199997,1.9325999999999994
18,NC(=O)c1nnc2ccccc2c1NCc1ccccc1Cl,0.21436813046106484,22,0.7,1,124.00797784000005,2.6833000000000014
19,NC(=O)c1nnc2ccccc2c1N,-1.0,22,0.7,1,0.0,0.0
21,NC(=O)c1nnc2ccccc2c1N1CCc2c(C)n(nc2C1)C,0.5723817779454015,23,0.8,1,134.08439832000002,1.0224199999999999
22,NC(=O)c1nnc2ccccc2c1N1CCN(Cc2cccc(C(F)(F)F)c2)CC1,0.5375354388793404,23,0.8,1,227.092184044,2.7588000000000013
23,NC(=O)c1nnc2ccccc2c1N1CCN(CC1)c1cc(OC)c(cc1)Cl,0.8008397767663675,23,0.8,1,209.06074168399996,2.406400000000001
24,NC(=O)c1nnc2ccccc2c1N1CCN(c2ccccc2C)CC1,0.9076486848082462,23,0.8,1,159.10479941600002,2.05282
25,NC(=O)c1nnc2ccccc2c1N1CCC(CC1)C(=O)c1ccccc1,0.7284533945635815,24,0.8,1,172.088815004,2.5171000000000014
26,NC(=O)c1nnc2ccccc2c1N1CCC(CC1)c1ccc(cc1)F,0.30795689282281025,24,0.8,1,162.08447857200005,2.9409000000000023
27,NC(=O)c1nnc2ccccc2c1N1CCOCC1,0.0,24,0.8,1,70.041864812,0.25439999999999985
