cluster atom 0.1*distance 0.3*log(1/ds) 0.6*delta_sa es
cluster19.pqr 20_N1 0.912 0.055 0.721 1.68728
cluster19.pqr 4_C8 1.178 0.055 0.841 2.0743
cluster20.pqr 4_C8 0.596 0.64 0.841 2.07698
cluster17.pqr 20_N1 0.28 1.106 0.721 2.10579
cluster20.pqr 6_C9 0.696 0.64 0.807 2.14271
cluster21.pqr 4_C8 0.283 1.183 0.841 2.30722
cluster16.pqr 4_C8 1.392 0.15 0.841 2.38314
cluster16.pqr 6_C9 1.481 0.15 0.807 2.43802
cluster17.pqr 14_N14 0.623 1.106 0.766 2.49476
cluster22.pqr 14_N14 0.504 1.247 0.766 2.51745
cluster21.pqr 20_N1 0.629 1.183 0.721 2.53247
cluster9.pqr 14_N14 1.204 0.627 0.766 2.59706
cluster10.pqr 14_N14 0.765 1.073 0.766 2.60432
cluster9.pqr 20_N1 1.294 0.627 0.721 2.64228
cluster22.pqr 20_N1 0.75 1.247 0.721 2.71731
cluster10.pqr 10_C11 0.884 1.073 0.901 2.85886
cluster24.pqr 6_C9 0.964 1.107 0.807 2.87788
cluster7.pqr 8_C10 0.89 1.245 0.792 2.92747
cluster24.pqr 4_C8 0.982 1.107 0.841 2.93124
cluster18.pqr 20_N1 1.22 1.001 0.721 2.94088
cluster12.pqr 20_N1 1.245 1.03 0.721 2.99573
cluster7.pqr 10_C11 0.875 1.245 0.901 3.02137
cluster14.pqr 20_N1 0.986 1.417 0.721 3.12407
cluster11.pqr 20_N1 1.154 1.27 0.721 3.14444
cluster13.pqr 20_N1 1.326 1.132 0.721 3.17837
cluster18.pqr 4_C8 1.426 1.001 0.841 3.26828
cluster23.pqr 4_C8 1.309 1.142 0.841 3.29197
cluster23.pqr 6_C9 1.344 1.142 0.807 3.29245
cluster14.pqr 14_N14 1.159 1.417 0.766 3.34252
cluster13.pqr 14_N14 1.53 1.132 0.766 3.42742
cluster12.pqr 14_N14 1.637 1.03 0.766 3.43283
cluster15.pqr 6_C9 1.535 1.118 0.807 3.45922
cluster15.pqr 4_C8 1.521 1.118 0.841 3.48029
cluster11.pqr 14_N14 1.487 1.27 0.766 3.52268
cluster5.pqr 4_C8 2.171 0.575 0.841 3.58779
cluster5.pqr 6_C9 2.255 0.575 0.807 3.63701
cluster8.pqr 20_N1 1.785 1.275 0.721 3.78037
cluster6.pqr 20_N1 2.117 0.952 0.721 3.78947
cluster8.pqr 14_N14 1.779 1.275 0.766 3.81998
cluster3.pqr 6_C9 2.507 0.601 0.807 3.91539
cluster3.pqr 4_C8 2.48 0.601 0.841 3.92265
cluster6.pqr 14_N14 2.241 0.952 0.766 3.9595
cluster4.pqr 4_C8 2.649 0.859 0.841 4.34944
cluster4.pqr 6_C9 2.713 0.859 0.807 4.37926
cluster2.pqr 6_C9 2.591 1.111 0.807 4.50856
cluster2.pqr 4_C8 2.586 1.111 0.841 4.53829
cluster1.pqr 4_C8 3.075 0.975 0.841 4.89231
cluster1.pqr 6_C9 3.124 0.975 0.807 4.90632
