cluster atom distance log(1/ds) delta_sa es
cluster19.pqr 20_N1 9.119 0.183 1.201 1.68728
cluster19.pqr 4_C8 11.78 0.183 1.402 2.0743
cluster20.pqr 4_C8 5.956 2.133 1.402 2.07698
cluster17.pqr 20_N1 2.798 3.685 1.201 2.10579
cluster20.pqr 6_C9 6.96 2.133 1.344 2.14271
cluster21.pqr 4_C8 2.826 3.944 1.402 2.30722
cluster16.pqr 4_C8 13.916 0.5 1.402 2.38314
cluster16.pqr 6_C9 14.812 0.5 1.344 2.43802
cluster17.pqr 14_N14 6.231 3.685 1.277 2.49476
cluster22.pqr 14_N14 5.044 4.156 1.277 2.51745
cluster21.pqr 20_N1 6.287 3.944 1.201 2.53247
cluster9.pqr 14_N14 12.036 2.091 1.277 2.59706
cluster10.pqr 14_N14 7.649 3.578 1.277 2.60432
cluster9.pqr 20_N1 12.945 2.091 1.201 2.64228
cluster22.pqr 20_N1 7.5 4.156 1.201 2.71731
cluster10.pqr 10_C11 8.843 3.578 1.502 2.85886
cluster24.pqr 6_C9 9.637 3.692 1.344 2.87788
cluster7.pqr 8_C10 8.904 4.15 1.32 2.92747
cluster24.pqr 4_C8 9.824 3.692 1.402 2.93124
cluster18.pqr 20_N1 12.199 3.335 1.201 2.94088
cluster12.pqr 20_N1 12.453 3.433 1.201 2.99573
cluster7.pqr 10_C11 8.751 4.15 1.502 3.02137
cluster14.pqr 20_N1 9.863 4.724 1.201 3.12407
cluster11.pqr 20_N1 11.541 4.233 1.201 3.14444
cluster13.pqr 20_N1 13.262 3.772 1.201 3.17837
cluster18.pqr 4_C8 14.264 3.335 1.402 3.26828
cluster23.pqr 4_C8 13.088 3.806 1.402 3.29197
cluster23.pqr 6_C9 13.44 3.806 1.344 3.29245
cluster14.pqr 14_N14 11.591 4.724 1.277 3.34252
cluster13.pqr 14_N14 15.296 3.772 1.277 3.42742
cluster12.pqr 14_N14 16.367 3.433 1.277 3.43283
cluster15.pqr 6_C9 15.349 3.725 1.344 3.45922
cluster15.pqr 4_C8 15.213 3.725 1.402 3.48029
cluster11.pqr 14_N14 14.867 4.233 1.277 3.52268
cluster5.pqr 4_C8 21.71 1.918 1.402 3.58779
cluster5.pqr 6_C9 22.55 1.918 1.344 3.63701
cluster8.pqr 20_N1 17.85 4.25 1.201 3.78037
cluster6.pqr 20_N1 21.17 3.173 1.201 3.78947
cluster8.pqr 14_N14 17.789 4.25 1.277 3.81998
cluster3.pqr 6_C9 25.074 2.004 1.344 3.91539
cluster3.pqr 4_C8 24.8 2.004 1.402 3.92265
cluster6.pqr 14_N14 22.413 3.173 1.277 3.9595
cluster4.pqr 4_C8 26.489 2.864 1.402 4.34944
cluster4.pqr 6_C9 27.134 2.864 1.344 4.37926
cluster2.pqr 6_C9 25.908 3.704 1.344 4.50856
cluster2.pqr 4_C8 25.858 3.704 1.402 4.53829
cluster1.pqr 4_C8 30.755 3.251 1.402 4.89231
cluster1.pqr 6_C9 31.242 3.251 1.344 4.90632
