,index,trial,generated_id,smiles,reward,depth,elapsed_time,is_through_filter,SINCHO_MW,SINCHO_LogP,canonical_smiles,MW,LogP,donor,acceptor,Choice_idx
0,0,1,6274,N(C(=O)c1nnc2ccccc2c1N)c1ncc2C(CN(C)C)C(=O)c2c1,1.0,36,107.9,1,174.07931294,1.3899,CN(C)CC1C(=O)c2cc(NC(=O)c3nnc4ccccc4c3N)ncc21,362.149123816,1.7007999999999999,3,8,0
1,1,2,967,N(C(=O)c1nnc2ccccc2c1N)c1nc2CCN(CCCn2c1C)CC,1.0,36,17.6,1,191.14224754400007,1.92642,CCN1CCCn2c(nc(NC(=O)c3nnc4ccccc4c3N)c2C)CC1,379.21205842000006,2.2373199999999995,3,8,1
2,2,1,8264,N(C(=O)c1nnc2ccccc2c1N)c1ncc2CN(C)C(=O)CC=C/Cn12,1.0,42,139.6,1,189.09021197200005,1.2682000000000002,CN1Cc2cnc(NC(=O)c3nnc4ccccc4c3N)n2CC=CCC1=O,377.16002284800004,1.5791,3,9,2
3,3,2,3679,N(C(=O)c1nnc2ccccc2c1N)c1nc2CCN(C)Cc2c2COCc12,1.0,41,60.0,1,188.094963004,1.5665,CN1CCc2nc(NC(=O)c3nnc4ccccc4c3N)c3c(c2C1)COC3,376.16477388,1.8774,3,8,3
4,4,3,9105,N(C(=O)c1nnc2ccccc2c1N)c1ncc2COC(C)(COC)Cn12,1.0,42,146.5,1,180.08987762399997,1.2852,COCC1(C)Cn2c(cnc2NC(=O)c2nnc3ccccc3c2N)CO1,368.15968849999996,1.5960999999999999,3,9,4
5,5,1,1070,N(C(=O)c1nnc2ccccc2c1N)c1ncc2C(CN(C)CCOc2c1)C,1.0,33,15.2,1,190.110613068,1.9761,CC1CN(C)CCOc2cc(NC(=O)c3nnc4ccccc4c3N)ncc21,378.180423944,2.287,3,8,5
6,6,2,2289,N(C(=O)c1nnc2ccccc2c1N)c1nc2CCN(CCCn2n1)CC,1.0,37,40.1,1,178.12184644800007,1.013,CCN1CCCn2nc(NC(=O)c3nnc4ccccc4c3N)nc2CC1,366.19165732400006,1.3238999999999999,3,9,6
7,7,3,8008,N(C(=O)c1nnc2ccccc2c1N)c1ncc2CN(CCCCC12)CCOC,1.0,38,131.2,1,206.141913196,1.6754000000000002,COCCN1CCCCC2C(=CN=C2NC(=O)c2nnc3ccccc3c2N)C1,394.211724072,1.9863,3,8,7
8,8,4,2281,N(C(=O)c1nnc2ccccc2c1N)c1ncc2OC(C(F)(F)C)Cc2n1,1.0,41,42.3,1,184.04481925200005,1.9021000000000003,CC(F)(F)C1Cc2nc(NC(=O)c3nnc4ccccc4c3N)ncc2O1,372.11463012800004,2.213,3,8,8
9,9,2,2603,N(C(=O)c1nnc2ccccc2c1N)c1nc2CCN(CCc2[nH]1)CCC,1.0,39,44.5,1,177.12659748000007,1.6871,CCCN1CCc2nc(NC(=O)c3nnc4ccccc4c3N)[nH]c2CC1,365.19640835600006,1.9979999999999998,4,8,9
