,index,trial,generated_id,smiles,reward,depth,elapsed_time,is_through_filter,SINCHO_MW,SINCHO_LogP,canonical_smiles,MW,LogP,donor,acceptor,Choice_idx
0,0,3,5159,NC(=O)c1nnc2c(cccc2c1N)N1CCc2c(N1Cc1cccc(F)c2)n1C,1.0,35,109.8,1,217.10152560400005,1.8997,Cn1c2cccc(F)cc3c1N(C2)N(c1cccc2c(N)c(C(N)=O)nnc12)CC3,405.17133648000004,2.2105999999999995,4,8,0
1,1,4,7731,NC(=O)c1nnc2c(cccc2c1N)c1cc2CN(C(=O)COC)CCCc2s1,1.0,43,142.9,1,223.066699656,1.6497000000000002,COCC(=O)N1CCCc2sc(-c3cccc4c(N)c(C(N)=O)nnc34)cc2C1,411.136510532,1.9606000000000001,4,8,1
2,2,2,3006,NC(=O)c1nnc2c(cccc2c1N)c1cc2COCN(CCc2cc1C)C,1.0,36,58.1,1,189.11536410000005,1.9374200000000008,Cc1cc2c(cc1-c1cccc3c(N)c(C(N)=O)nnc13)COCN(C)CC2,377.18517497600004,2.2483200000000005,4,7,2
3,3,2,5468,NC(=O)c1nnc2c(cccc2c1N)c1cc2OCN(CC)C(=O)c2cc1,1.0,37,104.3,1,175.06332852800003,1.4790000000000003,CCN1COc2cc(-c3cccc4c(N)c(C(N)=O)nnc34)ccc2C1=O,363.133139404,1.7899000000000003,4,8,3
4,4,4,1750,NC(=O)c1nnc2c(cccc2c1N)c1cc2OCCCOCc2s1,1.0,33,32.7,1,168.024500496,2.027600000000001,NC(=O)c1nnc2c(-c3cc4c(s3)COCCCO4)cccc2c1N,356.094311372,2.3385000000000007,4,7,4
5,5,1,3113,NC(=O)c1nnc2c(cccc2c1N)N1CCN(CC2CC2)c2ncc(cc12)F,1.0,33,60.2,1,205.101525604,1.9021999999999992,NC(=O)c1nnc2c(N3CCN(CC4CC4)c4ncc(F)cc43)cccc2c1N,393.17133648,2.213099999999999,4,8,5
6,6,1,8249,NC(=O)c1nnc2c(cccc2c1N)N1CC(c2[nH]cc(Cl)c2)CC1,1.0,35,164.4,1,168.045425968,1.9754,NC(=O)c1nnc2c(N3CCC(c4cc(Cl)c[nH]4)C3)cccc2c1N,356.115236844,2.2862999999999998,5,7,6
7,7,2,6029,NC(=O)c1nnc2c(cccc2c1N)c1cc2CCOCCN(C)C(=O)c2cc1,1.0,34,112.0,1,203.09462865600003,1.3116999999999996,CN1CCOCCc2cc(-c3cccc4c(N)c(C(N)=O)nnc34)ccc2C1=O,391.164439532,1.6225999999999996,4,8,7
8,8,2,2301,NC(=O)c1nnc2c(cccc2c1N)c1cc2CN(C(=O)C)C(=O)c2cc1,1.0,38,43.9,1,173.04767846399997,1.1693000000000002,CC(=O)N1Cc2cc(-c3cccc4c(N)c(C(N)=O)nnc34)ccc2C1=O,361.11748933999996,1.4802000000000002,4,8,8
9,9,2,4960,NC(=O)c1nnc2c(cccc2c1N)c1cc2C(N(C)C)Oc2cc1OC,1.0,37,99.1,1,177.07897859199997,1.6282000000000003,COc1cc2c(cc1-c1cccc3c(N)c(C(N)=O)nnc13)C(N(C)C)O2,365.14878946799996,1.9391000000000003,4,8,9
10,10,3,7593,NC(=O)c1nnc2c(cccc2c1N)N1CCc2c(nn(CC(C)C)c2C1)C,1.0,37,158.8,1,191.14224754400007,1.72362,Cc1nn(CC(C)C)c2c1CCN(c1cccc3c(N)c(C(N)=O)nnc13)C2,379.21205842000006,2.0345199999999997,4,8,10
