cluster atom 0.1*distance 0.3*log(1/ds) 0.6*delta_sa es
cluster17.pqr 20_N1 1.0 0.095 0.721 1.8155
cluster9.pqr 14_N14 0.406 0.929 0.766 2.10065
cluster16.pqr 20_N1 0.286 1.147 0.721 2.15426
cluster11.pqr 20_N1 0.967 0.567 0.721 2.25445
cluster12.pqr 4_C8 0.22 1.21 0.841 2.27098
cluster11.pqr 4_C8 0.878 0.567 0.841 2.28646
cluster12.pqr 6_C9 0.272 1.21 0.807 2.28849
cluster17.pqr 4_C8 1.415 0.095 0.841 2.35161
cluster9.pqr 10_C11 0.54 0.929 0.901 2.36972
cluster16.pqr 14_N14 0.667 1.147 0.766 2.58026
cluster13.pqr 4_C8 0.539 1.383 0.841 2.76342
cluster13.pqr 20_N1 0.675 1.383 0.721 2.77817
cluster8.pqr 8_C10 0.722 1.279 0.792 2.79321
cluster10.pqr 20_N1 0.908 1.176 0.721 2.80409
cluster8.pqr 10_C11 0.716 1.279 0.901 2.89611
cluster15.pqr 20_N1 1.203 0.993 0.721 2.91619
cluster6.pqr 20_N1 1.993 0.204 0.721 2.91702
cluster10.pqr 14_N14 0.977 1.176 0.766 2.91868
cluster14.pqr 6_C9 0.84 1.282 0.807 2.92927
cluster14.pqr 4_C8 0.81 1.282 0.841 2.93366
cluster4.pqr 20_N1 1.368 0.866 0.721 2.9549
cluster7.pqr 8_C10 1.052 1.182 0.792 3.02614
cluster6.pqr 4_C8 1.989 0.204 0.841 3.03429
cluster7.pqr 6_C9 1.099 1.182 0.807 3.08787
cluster4.pqr 4_C8 1.435 0.866 0.841 3.14248
cluster15.pqr 14_N14 1.556 0.993 0.766 3.31513
cluster2.pqr 20_N1 1.883 0.903 0.721 3.50671
cluster1.pqr 6_C9 1.854 0.926 0.807 3.58703
cluster1.pqr 4_C8 1.829 0.926 0.841 3.59613
cluster3.pqr 20_N1 2.191 0.685 0.721 3.59713
cluster2.pqr 4_C8 1.892 0.903 0.841 3.63705
cluster5.pqr 4_C8 1.659 1.165 0.841 3.66554
cluster5.pqr 6_C9 1.726 1.165 0.807 3.69752
cluster3.pqr 4_C8 2.276 0.685 0.841 3.80301
