cluster atom distance log(1/ds) delta_sa es
cluster17.pqr 20_N1 9.997 0.318 1.201 1.8155
cluster9.pqr 14_N14 4.056 3.096 1.277 2.10065
cluster16.pqr 20_N1 2.863 3.825 1.201 2.15426
cluster11.pqr 20_N1 9.665 1.891 1.201 2.25445
cluster12.pqr 4_C8 2.2 4.032 1.402 2.27098
cluster11.pqr 4_C8 8.776 1.891 1.402 2.28646
cluster12.pqr 6_C9 2.722 4.032 1.344 2.28849
cluster17.pqr 4_C8 14.149 0.318 1.402 2.35161
cluster9.pqr 10_C11 5.396 3.096 1.502 2.36972
cluster16.pqr 14_N14 6.667 3.825 1.277 2.58026
cluster13.pqr 4_C8 5.391 4.61 1.402 2.76342
cluster13.pqr 20_N1 6.747 4.61 1.201 2.77817
cluster8.pqr 8_C10 7.218 4.264 1.32 2.79321
cluster10.pqr 20_N1 9.077 3.92 1.201 2.80409
cluster8.pqr 10_C11 7.156 4.264 1.502 2.89611
cluster15.pqr 20_N1 12.028 3.31 1.201 2.91619
cluster6.pqr 20_N1 19.926 0.68 1.201 2.91702
cluster10.pqr 14_N14 9.766 3.92 1.277 2.91868
cluster14.pqr 6_C9 8.403 4.274 1.344 2.92927
cluster14.pqr 4_C8 8.1 4.274 1.402 2.93366
cluster4.pqr 20_N1 13.682 2.887 1.201 2.9549
cluster7.pqr 8_C10 10.517 3.941 1.32 3.02614
cluster6.pqr 4_C8 19.889 0.68 1.402 3.03429
cluster7.pqr 6_C9 10.988 3.941 1.344 3.08787
cluster4.pqr 4_C8 14.349 2.887 1.402 3.14248
cluster15.pqr 14_N14 15.561 3.31 1.277 3.31513
cluster2.pqr 20_N1 18.828 3.011 1.201 3.50671
cluster1.pqr 6_C9 18.544 3.086 1.344 3.58703
cluster1.pqr 4_C8 18.288 3.086 1.402 3.59613
cluster3.pqr 20_N1 21.914 2.284 1.201 3.59713
cluster2.pqr 4_C8 18.922 3.011 1.402 3.63705
cluster5.pqr 4_C8 16.591 3.884 1.402 3.66554
cluster5.pqr 6_C9 17.258 3.884 1.344 3.69752
cluster3.pqr 4_C8 22.764 2.284 1.402 3.80301
