,index,trial,generated_id,smiles,reward,depth,elapsed_time,is_through_filter,SINCHO_MW,SINCHO_LogP,canonical_smiles,MW,LogP,donor,acceptor,Choice_idx
0,0,4,4990,N(C(=O)c1nnc2ccccc2c1N)c1ncc2COCCCc2c1OC,1.0,36,85.0,1,177.07897859199997,2.0198000000000005,COc1c(NC(=O)c2nnc3ccccc3c2N)ncc2c1CCCOC2,365.14878946799996,2.3307,3,8,0
1,1,2,9076,N(C(=O)c1nnc2ccccc2c1N)c1ncc2C(F)(F)Cc(n1)OC2,1.0,40,150.0,1,170.029169188,1.3385000000000002,Nc1c(C(=O)NC2=NC=C3COC(=N2)CC3(F)F)nnc2ccccc12,358.098980064,1.6494000000000002,3,8,1
2,2,2,6957,N(C(=O)c1nnc2ccccc2c1N)c1ncc2CN(C)CCC(c2n1)C,1.0,39,112.2,1,175.11094741600007,1.8824,CC1CCN(C)Cc2cnc(NC(=O)c3nnc4ccccc4c3N)nc21,363.18075829200006,2.1933,3,8,2
3,3,3,9636,N(C(=O)c1nnc2ccccc2c1N)c1ncc2CN(CC)CC1/CN2C,1.0,39,163.1,1,177.12659748000007,0.7679000000000004,CCN1CC2=CN=C(NC(=O)c3nnc4ccccc4c3N)C(C1)CN2C,365.19640835600006,1.0788000000000002,3,8,3
4,4,4,3341,N(C(=O)c1nnc2ccccc2c1N)c1ncc2CN(C)CCOc2c1Cl,1.0,37,54.2,1,196.040340588,2.026,CN1CCOc2c(cnc(NC(=O)c3nnc4ccccc4c3N)c2Cl)C1,384.110151464,2.3369,3,8,4
5,5,2,184,N(C(=O)c1nnc2ccccc2c1N)CCN(C(C)C)Cc1cccnc1,1.0,26,3.4,1,176.13134851200002,1.936500000000001,CC(C)N(CCNC(=O)c1nnc2ccccc2c1N)Cc1cccnc1,364.201159388,2.2474000000000007,3,7,5
6,6,4,974,N(C(=O)c1nnc2ccccc2c1N)c1cn(S(=O)(=O)N2CCCCC2)cc1,1.0,29,19.6,1,212.061948624,1.5336999999999996,Nc1c(C(=O)Nc2ccn(S(=O)(=O)N3CCCCC3)c2)nnc2ccccc12,400.1317595,1.8445999999999994,3,9,6
7,7,1,10123,N(C(=O)c1nnc2ccccc2c1N)c1ncc2CN(CCc2c1OC)C,1.0,39,171.4,1,176.094963004,1.5449000000000002,COc1c(NC(=O)c2nnc3ccccc3c2N)ncc2c1CCN(C)C2,364.16477388,1.8558,3,8,7
8,8,1,2010,N(C(=O)c1nnc2ccccc2c1N)c1ncc2C(CN(C)Cc2n1)CC,1.0,34,35.7,1,175.11094741600007,1.8824,CCC1CN(C)Cc2nc(NC(=O)c3nnc4ccccc4c3N)ncc21,363.18075829200006,2.1933,3,8,8
9,9,1,5350,N(C(=O)c1nnc2ccccc2c1N)c1ncc2CN(C)C(C)COc2c1F,1.0,40,90.2,1,194.085541192,1.9002000000000003,CC1COc2c(cnc(NC(=O)c3nnc4ccccc4c3N)c2F)CN1C,382.155352068,2.2111,3,8,9
10,10,1,7670,N(C(=O)c1nnc2ccccc2c1N)c1ncc2CN(CCCc2c1OC)C,1.0,40,129.7,1,190.110613068,1.935,COc1c(NC(=O)c2nnc3ccccc3c2N)ncc2c1CCCN(C)C2,378.180423944,2.2459,3,8,10
