cluster atom 0.1*distance 0.3*log(1/ds) 0.6*delta_sa es
cluster30.pqr 20_N1 0.833 0.088 0.721 1.64068
cluster27.pqr 4_C8 0.655 0.167 0.841 1.66374
cluster27.pqr 6_C9 0.765 0.167 0.807 1.73885
cluster30.pqr 4_C8 1.143 0.088 0.841 2.07189
cluster29.pqr 20_N1 0.359 1.191 0.721 2.27017
cluster25.pqr 20_N1 1.37 0.201 0.721 2.29153
cluster26.pqr 6_C9 0.269 1.226 0.807 2.3025
cluster3.pqr 14_N14 0.369 1.206 0.766 2.34115
cluster26.pqr 4_C8 0.28 1.226 0.841 2.34731
cluster25.pqr 4_C8 1.34 0.201 0.841 2.38309
cluster3.pqr 10_C11 0.418 1.206 0.901 2.52514
cluster15.pqr 4_C8 1.485 0.223 0.841 2.54925
cluster15.pqr 6_C9 1.587 0.223 0.807 2.61656
cluster21.pqr 8_C10 0.796 1.104 0.792 2.69164
cluster7.pqr 20_N1 0.798 1.177 0.721 2.69477
cluster21.pqr 6_C9 0.793 1.104 0.807 2.70416
cluster7.pqr 14_N14 0.762 1.177 0.766 2.70513
cluster5.pqr 8_C10 0.919 1.003 0.792 2.71476
cluster29.pqr 14_N14 0.762 1.191 0.766 2.7191
cluster8.pqr 20_N1 0.807 1.281 0.721 2.80928
cluster5.pqr 10_C11 0.924 1.003 0.901 2.82877
cluster22.pqr 6_C9 1.083 1.015 0.807 2.90476
cluster22.pqr 4_C8 1.081 1.015 0.841 2.93724
cluster24.pqr 4_C8 1.429 0.675 0.841 2.94582
cluster28.pqr 20_N1 1.118 1.11 0.721 2.94784
cluster24.pqr 6_C9 1.504 0.675 0.807 2.98539
cluster8.pqr 14_N14 0.968 1.281 0.766 3.01583
cluster6.pqr 14_N14 1.268 1.02 0.766 3.05495
cluster19.pqr 4_C8 1.407 0.935 0.841 3.1839
cluster4.pqr 8_C10 1.13 1.269 0.792 3.1911
cluster19.pqr 6_C9 1.459 0.935 0.807 3.20084
cluster20.pqr 6_C9 1.806 0.594 0.807 3.20675
cluster23.pqr 4_C8 1.186 1.188 0.841 3.21505
cluster23.pqr 6_C9 1.226 1.188 0.807 3.22114
cluster20.pqr 4_C8 1.785 0.594 0.841 3.22124
cluster18.pqr 6_C9 1.446 0.969 0.807 3.22185
cluster4.pqr 6_C9 1.157 1.269 0.807 3.2322
cluster18.pqr 4_C8 1.456 0.969 0.841 3.2661
cluster6.pqr 10_C11 1.369 1.02 0.901 3.29027
cluster10.pqr 20_N1 1.819 0.834 0.721 3.37286
cluster28.pqr 14_N14 1.502 1.11 0.766 3.37776
cluster17.pqr 4_C8 1.978 0.559 0.841 3.37845
cluster17.pqr 6_C9 2.064 0.559 0.807 3.42953
cluster10.pqr 4_C8 2.048 0.834 0.841 3.72282
cluster14.pqr 4_C8 1.939 1.05 0.841 3.82979
cluster14.pqr 6_C9 2.035 1.05 0.807 3.89094
cluster11.pqr 4_C8 2.555 0.565 0.841 3.96143
cluster11.pqr 6_C9 2.592 0.565 0.807 3.96291
cluster16.pqr 20_N1 2.224 1.125 0.721 4.06926
cluster16.pqr 4_C8 2.265 1.125 0.841 4.23093
cluster9.pqr 20_N1 2.281 1.434 0.721 4.43557
cluster2.pqr 6_C9 2.566 1.251 0.807 4.62398
cluster13.pqr 4_C8 3.008 0.776 0.841 4.62566
cluster13.pqr 6_C9 3.066 0.776 0.807 4.64886
cluster2.pqr 4_C8 2.596 1.251 0.841 4.6888
cluster9.pqr 4_C8 2.632 1.434 0.841 4.90763
cluster12.pqr 4_C8 3.114 1.254 0.841 5.2087
cluster12.pqr 6_C9 3.161 1.254 0.807 5.2215
cluster1.pqr 20_N1 3.525 1.022 0.721 5.26724
cluster1.pqr 4_C8 3.478 1.022 0.841 5.34174
