cluster atom 0.1*distance 0.3*log(1/ds) 0.6*delta_sa es
cluster10.pqr 20_N1 0.903 0.089 0.721 1.71307
cluster11.pqr 20_N1 0.471 0.769 0.721 1.96043
cluster1.pqr 20_N1 1.157 0.108 0.721 1.98633
cluster10.pqr 4_C8 1.229 0.089 0.841 2.15961
cluster9.pqr 4_C8 0.479 1.006 0.841 2.32618
cluster4.pqr 14_N14 0.322 1.256 0.766 2.34416
cluster1.pqr 14_N14 1.489 0.108 0.766 2.36366
cluster11.pqr 4_C8 0.773 0.769 0.841 2.38267
cluster9.pqr 20_N1 0.707 1.006 0.721 2.43356
cluster4.pqr 10_C11 0.366 1.256 0.901 2.52313
cluster8.pqr 4_C8 0.691 1.003 0.841 2.53527
cluster8.pqr 6_C9 0.796 1.003 0.807 2.6059
cluster2.pqr 14_N14 0.823 1.066 0.766 2.65537
cluster2.pqr 20_N1 0.892 1.066 0.721 2.67916
cluster6.pqr 8_C10 0.684 1.377 0.792 2.85271
cluster7.pqr 20_N1 1.196 0.978 0.721 2.89495
cluster7.pqr 4_C8 1.105 0.978 0.841 2.92466
cluster15.pqr 4_C8 1.416 0.715 0.841 2.97193
cluster6.pqr 10_C11 0.712 1.377 0.901 2.99063
cluster15.pqr 6_C9 1.471 0.715 0.807 2.99276
cluster14.pqr 4_C8 0.999 1.22 0.841 3.0604
cluster14.pqr 6_C9 1.048 1.22 0.807 3.07534
cluster3.pqr 20_N1 1.039 1.367 0.721 3.12687
cluster5.pqr 8_C10 1.141 1.33 0.792 3.26247
cluster3.pqr 14_N14 1.195 1.367 0.766 3.32901
cluster5.pqr 6_C9 1.212 1.33 0.807 3.3486
cluster12.pqr 6_C9 1.568 0.993 0.807 3.3681
cluster12.pqr 4_C8 1.569 0.993 0.841 3.40375
cluster13.pqr 4_C8 1.797 0.909 0.841 3.54722
cluster13.pqr 6_C9 1.865 0.909 0.807 3.58129
