cluster atom distance log(1/ds) delta_sa es
cluster10.pqr 20_N1 9.034 0.297 1.201 1.71307
cluster11.pqr 20_N1 4.713 2.562 1.201 1.96043
cluster1.pqr 20_N1 11.574 0.362 1.201 1.98633
cluster10.pqr 4_C8 12.291 0.297 1.402 2.15961
cluster9.pqr 4_C8 4.79 3.353 1.402 2.32618
cluster4.pqr 14_N14 3.218 4.187 1.277 2.34416
cluster1.pqr 14_N14 14.89 0.362 1.277 2.36366
cluster11.pqr 4_C8 7.726 2.562 1.402 2.38267
cluster9.pqr 20_N1 7.073 3.353 1.201 2.43356
cluster4.pqr 10_C11 3.657 4.187 1.502 2.52313
cluster8.pqr 4_C8 6.906 3.344 1.402 2.53527
cluster8.pqr 6_C9 7.96 3.344 1.344 2.6059
cluster2.pqr 14_N14 8.228 3.555 1.277 2.65537
cluster2.pqr 20_N1 8.923 3.555 1.201 2.67916
cluster6.pqr 8_C10 6.837 4.59 1.32 2.85271
cluster7.pqr 20_N1 11.964 3.26 1.201 2.89495
cluster7.pqr 4_C8 11.052 3.26 1.402 2.92466
cluster15.pqr 4_C8 14.159 2.382 1.402 2.97193
cluster6.pqr 10_C11 7.124 4.59 1.502 2.99063
cluster15.pqr 6_C9 14.714 2.382 1.344 2.99276
cluster14.pqr 4_C8 9.987 4.068 1.402 3.0604
cluster14.pqr 6_C9 10.483 4.068 1.344 3.07534
cluster3.pqr 20_N1 10.39 4.558 1.201 3.12687
cluster5.pqr 8_C10 11.405 4.433 1.32 3.26247
cluster3.pqr 14_N14 11.955 4.558 1.277 3.32901
cluster5.pqr 6_C9 12.121 4.433 1.344 3.3486
cluster12.pqr 6_C9 15.68 3.311 1.344 3.3681
cluster12.pqr 4_C8 15.689 3.311 1.402 3.40375
cluster13.pqr 4_C8 17.965 3.031 1.402 3.54722
cluster13.pqr 6_C9 18.653 3.031 1.344 3.58129
