,index,trial,generated_id,smiles,reward,depth,elapsed_time,is_through_filter,SINCHO_MW,SINCHO_LogP,canonical_smiles,MW,LogP,donor,acceptor,Choice_idx
0,0,2,4052,NC(=O)c1nnc2c(cccc2c1N)N1CCC2(CC(O)N(C)CC2)C1,1.0,30,87.3,1,168.126263132,0.2404999999999996,CN1CCC2(CCN(c3cccc4c(N)c(C(N)=O)nnc34)C2)CC1O,356.196074008,0.5513999999999994,5,8,0
1,1,1,2987,NC(=O)c1nnc2c(cccc2c1N)N1CCc2c(scc2OCC1)C,1.0,36,66.5,1,181.056134972,1.8114200000000005,Cc1scc2c1CCN(c1cccc3c(N)c(C(N)=O)nnc13)CCO2,369.125945848,2.12232,4,7,1
2,2,3,693,NC(=O)c1nnc2c(cccc2c1N)N1CCc2ncc(cc2C1)OCC,1.0,34,14.8,1,176.09496300399994,1.3563999999999998,CCOc1cnc2c(c1)CN(c1cccc3c(N)c(C(N)=O)nnc13)CC2,364.1647738799999,1.6672999999999998,4,8,2
3,3,1,5100,NC(=O)c1nnc2c(cccc2c1N)N1CCc2cc(cc(F)c2C1)OC,1.0,35,113.7,1,179.07464215999997,1.7104000000000004,COc1cc(F)c2c(c1)CCN(c1cccc3c(N)c(C(N)=O)nnc13)C2,367.14445303599996,2.0213,4,7,3
4,4,3,664,NC(=O)c1nnc2c(cccc2c1N)N1CCc2c(sc(=O)cc12)CC,1.0,32,13.8,1,179.04048490800002,1.6783,CCc1sc(=O)cc2c1CCN2c1cccc2c(N)c(C(N)=O)nnc12,367.110295784,1.9892,4,7,4
5,5,3,7581,NC(=O)c1nnc2c(cccc2c1N)N1CCc2c(nn(CC)c2C1)CC,1.0,37,160.8,1,177.12659748000007,1.3414999999999997,CCc1nn(CC)c2c1CCN(c1cccc3c(N)c(C(N)=O)nnc13)C2,365.19640835600006,1.6523999999999994,4,8,5
6,6,2,724,NC(=O)c1nnc2c(cccc2c1N)N1CCc2c(F)ccc(c2C1)OC,1.0,32,13.8,1,179.07464215999997,1.7104000000000004,COc1ccc(F)c2c1CN(c1cccc3c(N)c(C(N)=O)nnc13)CC2,367.14445303599996,2.0213,4,7,6
7,7,2,7760,NC(=O)c1nnc2c(cccc2c1N)N1CCN(CC2CCN(C)CC2)C1,1.0,38,166.1,1,181.157897608,0.4213000000000008,CN1CCC(CN2CCN(c3cccc4c(N)c(C(N)=O)nnc34)C2)CC1,369.227708484,0.7322000000000006,4,8,7
8,8,1,972,NC(=O)c1nnc2c(cccc2c1N)N1CCc2cc(c(OC)cc2C1)OC,1.0,31,21.5,1,191.094628656,1.5799,COc1cc2c(cc1OC)CN(c1cccc3c(N)c(C(N)=O)nnc13)CC2,379.16443953199996,1.8907999999999998,4,8,8
9,9,1,6853,NC(=O)c1nnc2c(cccc2c1N)N(Cc1ccnn1C)CCC1CC1,1.0,37,152.0,1,177.12659748000007,1.5402,Cn1nccc1CN(CCC1CC1)c1cccc2c(N)c(C(N)=O)nnc12,365.19640835600006,1.8510999999999997,4,8,9
10,10,1,4218,NC(=O)c1nnc2c(cccc2c1N)N1CCN(C(=O)c2ccc(Cl)cc2)CC1,1.0,36,95.3,1,222.055990652,1.6158000000000006,NC(=O)c1nnc2c(N3CCN(C(=O)c4ccc(Cl)cc4)CC3)cccc2c1N,410.125801528,1.9267000000000003,4,8,10
11,11,2,3871,NC(=O)c1nnc2c(cccc2c1N)N1CCN(C(=O)CCC)OCC1,1.0,36,83.5,1,170.10552768799997,0.3802999999999995,CCCC(=O)N1CCN(c2cccc3c(N)c(C(N)=O)nnc23)CCO1,358.17533856399996,0.6911999999999994,4,9,11
