cluster atom 0.1*distance 0.3*log(1/ds) 0.6*delta_sa es
cluster10.pqr 20_N1 0.961 0.078 0.721 1.7596
cluster10.pqr 4_C8 1.227 0.078 0.841 2.14685
cluster16.pqr 4_C8 0.607 0.723 0.841 2.17188
cluster16.pqr 6_C9 0.715 0.723 0.807 2.2454
cluster13.pqr 4_C8 1.087 0.35 0.841 2.27846
cluster17.pqr 20_N1 0.768 0.813 0.721 2.30192
cluster13.pqr 6_C9 1.172 0.35 0.807 2.32845
cluster19.pqr 4_C8 0.3 1.3 0.841 2.44142
cluster17.pqr 4_C8 0.805 0.813 0.841 2.45999
cluster19.pqr 6_C9 0.368 1.3 0.807 2.4747
cluster20.pqr 14_N14 0.505 1.247 0.766 2.51848
cluster6.pqr 14_N14 0.731 1.04 0.766 2.53689
cluster18.pqr 6_C9 0.739 1.124 0.807 2.66939
cluster18.pqr 4_C8 0.726 1.124 0.841 2.69198
cluster12.pqr 6_C9 1.413 0.49 0.807 2.71038
cluster20.pqr 20_N1 0.75 1.247 0.721 2.71768
cluster1.pqr 20_N1 0.806 1.193 0.721 2.71871
cluster12.pqr 8_C10 1.446 0.49 0.792 2.72828
cluster4.pqr 8_C10 0.721 1.225 0.792 2.73823
cluster6.pqr 10_C11 0.833 1.04 0.901 2.77455
cluster1.pqr 14_N14 0.842 1.193 0.766 2.8008
cluster7.pqr 20_N1 1.046 1.039 0.721 2.80573
cluster4.pqr 10_C11 0.757 1.225 0.901 2.88317
cluster3.pqr 14_N14 1.037 1.149 0.766 2.95228
cluster2.pqr 20_N1 0.947 1.355 0.721 3.02183
cluster5.pqr 14_N14 1.033 1.252 0.766 3.05149
cluster3.pqr 10_C11 1.035 1.149 0.901 3.08498
cluster11.pqr 6_C9 1.505 0.8 0.807 3.11164
cluster9.pqr 20_N1 1.401 1.003 0.721 3.1242
cluster11.pqr 4_C8 1.518 0.8 0.841 3.15876
cluster8.pqr 20_N1 1.272 1.198 0.721 3.19038
cluster7.pqr 14_N14 1.445 1.039 0.766 3.24982
cluster2.pqr 14_N14 1.136 1.355 0.766 3.25658
cluster15.pqr 4_C8 1.723 0.737 0.841 3.30125
cluster15.pqr 6_C9 1.786 0.737 0.807 3.32995
cluster5.pqr 10_C11 1.229 1.252 0.901 3.38247
cluster9.pqr 4_C8 1.741 1.003 0.841 3.58519
cluster8.pqr 14_N14 1.625 1.198 0.766 3.58874
cluster14.pqr 4_C8 1.605 1.193 0.841 3.63949
cluster14.pqr 6_C9 1.676 1.193 0.807 3.67563
