cluster atom distance log(1/ds) delta_sa es
cluster10.pqr 20_N1 9.611 0.26 1.201 1.7596
cluster10.pqr 4_C8 12.274 0.26 1.402 2.14685
cluster16.pqr 4_C8 6.071 2.411 1.402 2.17188
cluster16.pqr 6_C9 7.153 2.411 1.344 2.2454
cluster13.pqr 4_C8 10.875 1.165 1.402 2.27846
cluster17.pqr 20_N1 7.681 2.711 1.201 2.30192
cluster13.pqr 6_C9 11.722 1.165 1.344 2.32845
cluster19.pqr 4_C8 2.999 4.334 1.402 2.44142
cluster17.pqr 4_C8 8.053 2.711 1.402 2.45999
cluster19.pqr 6_C9 3.678 4.334 1.344 2.4747
cluster20.pqr 14_N14 5.055 4.156 1.277 2.51848
cluster6.pqr 14_N14 7.308 3.467 1.277 2.53689
cluster18.pqr 6_C9 7.386 3.747 1.344 2.66939
cluster18.pqr 4_C8 7.264 3.747 1.402 2.69198
cluster12.pqr 6_C9 14.133 1.635 1.344 2.71038
cluster20.pqr 20_N1 7.503 4.156 1.201 2.71768
cluster1.pqr 20_N1 8.055 3.976 1.201 2.71871
cluster12.pqr 8_C10 14.458 1.635 1.32 2.72828
cluster4.pqr 8_C10 7.212 4.083 1.32 2.73823
cluster6.pqr 10_C11 8.333 3.467 1.502 2.77455
cluster1.pqr 14_N14 8.42 3.976 1.277 2.8008
cluster7.pqr 20_N1 10.465 3.462 1.201 2.80573
cluster4.pqr 10_C11 7.57 4.083 1.502 2.88317
cluster3.pqr 14_N14 10.371 3.83 1.277 2.95228
cluster2.pqr 20_N1 9.468 4.515 1.201 3.02183
cluster5.pqr 14_N14 10.335 4.173 1.277 3.05149
cluster3.pqr 10_C11 10.347 3.83 1.502 3.08498
cluster11.pqr 6_C9 15.054 2.665 1.344 3.11164
cluster9.pqr 20_N1 14.007 3.343 1.201 3.1242
cluster11.pqr 4_C8 15.178 2.665 1.402 3.15876
cluster8.pqr 20_N1 12.724 3.992 1.201 3.19038
cluster7.pqr 14_N14 14.449 3.462 1.277 3.24982
cluster2.pqr 14_N14 11.359 4.515 1.277 3.25658
cluster15.pqr 4_C8 17.228 2.457 1.402 3.30125
cluster15.pqr 6_C9 17.862 2.457 1.344 3.32995
cluster5.pqr 10_C11 12.294 4.173 1.502 3.38247
cluster9.pqr 4_C8 17.408 3.343 1.402 3.58519
cluster8.pqr 14_N14 16.251 3.992 1.277 3.58874
cluster14.pqr 4_C8 16.054 3.976 1.402 3.63949
cluster14.pqr 6_C9 16.762 3.976 1.344 3.67563
