,index,trial,generated_id,smiles,reward,depth,elapsed_time,is_through_filter,SINCHO_MW,SINCHO_LogP,canonical_smiles,MW,LogP,donor,acceptor,Choice_idx
0,0,3,7528,N(C(=O)c1nnc2ccccc2c1N)c1ncc2OC(C(C)=O)CC2(COC)CC1,1.0,42,120.2,1,221.10519334,1.6753000000000005,COCC12CCC(NC(=O)c3nnc4ccccc4c3N)=NC=C1OC(C(C)=O)C2,409.175004216,1.9862000000000002,3,9,0
1,1,2,2320,N(C(=O)c1nnc2ccccc2c1N)c1cc(S(=O)(=O)C)n(c1C)C,1.0,42,44.1,1,171.035399528,1.2038200000000003,Cc1c(NC(=O)c2nnc3ccccc3c2N)cc(S(C)(=O)=O)n1C,359.105210404,1.51472,3,8,1
2,2,2,216,N(C(=O)c1nnc2ccccc2c1N)CCN1CCN(CC1)c1ccccc1,1.0,26,3.9,1,188.131348512,1.4531,Nc1c(C(=O)NCCN2CCN(c3ccccc3)CC2)nnc2ccccc12,376.201159388,1.764,3,7,2
3,3,3,5184,N(C(=O)c1nnc2ccccc2c1N)c1ncc2CN(C)C(=O)C2(C)CC1,1.0,41,87.6,1,176.094963004,1.1854000000000005,CN1CC2=CN=C(NC(=O)c3nnc4ccccc4c3N)CCC2(C)C1=O,364.16477388,1.4963000000000002,3,8,3
4,4,4,5307,N(C(=O)c1nnc2ccccc2c1N)c1ncc2CN(C)CCC(=O)c2c1F,1.0,39,79.1,1,192.069891128,1.7057000000000002,CN1CCC(=O)c2c(cnc(NC(=O)c3nnc4ccccc4c3N)c2F)C1,380.139702004,2.0166,3,8,4
5,5,2,3167,N(C(=O)c1nnc2ccccc2c1N)c1cc(S(=O)(=O)N(C)C)c(CC)cc1,1.0,47,57.4,1,211.066699656,1.9661000000000004,CCc1ccc(NC(=O)c2nnc3ccccc3c2N)cc1S(=O)(=O)N(C)C,399.136510532,2.277,3,8,5
6,6,1,8507,N(C(=O)c1nnc2ccccc2c1N)c1cc2C(=O)N(CCOCCc2cc1)C,1.0,40,138.1,1,203.09462865600003,1.7981000000000005,CN1CCOCCc2ccc(NC(=O)c3nnc4ccccc4c3N)cc2C1=O,391.164439532,2.109,3,8,6
7,7,2,3618,N(C(=O)c1nnc2ccccc2c1N)c1cc(N2CCOCC2)c(cn1)C,1.0,39,65.3,1,176.094963004,1.69342,Cc1cnc(NC(=O)c2nnc3ccccc3c2N)cc1N1CCOCC1,364.16477388,2.00432,3,8,7
8,8,2,9456,N(C(=O)c1nnc2ccccc2c1N)c1cc(N(C)C(=O)COC)ccc1,1.0,40,166.2,1,177.07897859199997,1.7626000000000004,COCC(=O)N(C)c1cccc(NC(=O)c2nnc3ccccc3c2N)c1,365.14878946799996,2.0735,3,8,8
9,9,3,1883,N(C(=O)c1nnc2ccccc2c1N)c1ncc2CCN(Cc2n1)CC(C)C,1.0,35,34.9,1,189.12659748000007,1.9575,CC(C)CN1CCc2cnc(NC(=O)c3nnc4ccccc4c3N)nc2C1,377.19640835600006,2.2683999999999997,3,8,9
10,10,4,5261,N(C(=O)c1nnc2ccccc2c1N)c1ncc2CN(C)C(C)CN=C\c2c1,1.0,43,78.3,1,187.11094741600007,1.8012,CC1CN=Cc2cc(NC(=O)c3nnc4ccccc4c3N)ncc2CN1C,375.18075829200006,2.1121,3,8,10
11,11,1,925,N(C(=O)c1nnc2ccccc2c1N)c1nc(OCC(F)(F)F)cnc1,1.0,33,15.2,1,176.01974737600008,1.8845000000000005,Nc1c(C(=O)Nc2cncc(OCC(F)(F)F)n2)nnc2ccccc12,364.0895582520001,2.1954000000000002,3,8,11
12,12,4,8602,N(C(=O)c1nnc2ccccc2c1N)c1ncc2CN(C)C(C)COC2CCC1,1.0,42,133.5,1,206.141913196,1.8163000000000005,CC1COC2CCCC(NC(=O)c3nnc4ccccc4c3N)=NC=C2CN1C,394.211724072,2.1272,3,8,12
13,13,2,1439,N(C(=O)c1nnc2ccccc2c1N)c1cc(S(=O)(=O)N(C)C)ccc1,1.0,44,26.3,1,183.035399528,1.4037000000000002,CN(C)S(=O)(=O)c1cccc(NC(=O)c2nnc3ccccc3c2N)c1,371.105210404,1.7146,3,8,13
14,14,1,9636,N(C(=O)c1nnc2ccccc2c1N)c1cc2CC(C)(N)Cc2cc1OC,1.0,36,160.1,1,175.099714036,1.978,COc1cc2c(cc1NC(=O)c1nnc3ccccc3c1N)CC(C)(N)C2,363.169524912,2.2889,5,7,14
15,15,3,7177,N(C(=O)c1nnc2ccccc2c1N)c1ncc2CC(=O)N(CCc2c1)C,1.0,40,115.8,1,174.07931294,1.1054,CN1CCc2cc(NC(=O)c3nnc4ccccc4c3N)ncc2CC1=O,362.149123816,1.4163,3,8,15
16,16,3,3737,N(C(=O)c1nnc2ccccc2c1N)c1ncc2CN(C)CCOCc2c1C,1.0,38,63.1,1,190.110613068,1.81882,Cc1c(NC(=O)c2nnc3ccccc3c2N)ncc2c1COCCN(C)C2,378.180423944,2.12972,3,8,16
17,17,4,5722,N(C(=O)c1nnc2ccccc2c1N)c1ncc2C(CN(C(=O)C)Cc2c1)C,1.0,36,86.5,1,188.094963004,2.0140000000000007,CC(=O)N1Cc2cc(NC(=O)c3nnc4ccccc4c3N)ncc2C(C)C1,376.16477388,2.3249000000000004,3,8,17
18,18,2,4627,N(C(=O)c1nnc2ccccc2c1N)c1cc(N2CCOCC2)cc(OC)c1,1.0,41,83.8,1,191.094628656,1.9986,COc1cc(NC(=O)c2nnc3ccccc3c2N)cc(N2CCOCC2)c1,379.16443953199996,2.3095,3,8,18
19,19,2,5816,N(C(=O)c1nnc2ccccc2c1N)c1cc(N2CC(F)(F)OC2)ccn1,1.0,36,101.6,1,184.044819252,1.9353,Nc1c(C(=O)Nc2cc(N3COC(F)(F)C3)ccn2)nnc2ccccc12,372.114630128,2.2462,3,8,19
20,20,2,977,N(C(=O)c1nnc2ccccc2c1N)c1cc(S(=O)(=O)C)ccc1C,1.0,34,16.7,1,168.02450049599994,1.86532,Cc1ccc(S(C)(=O)=O)cc1NC(=O)c1nnc2ccccc2c1N,356.09431137199994,2.17622,3,7,20
21,21,1,10336,N(C(=O)c1nnc2ccccc2c1N)c1cc2OCCN(C)CCOc2cc1F,1.0,38,170.4,1,209.085206844,1.9955000000000005,CN1CCOc2cc(F)c(NC(=O)c3nnc4ccccc4c3N)cc2OCC1,397.15501772,2.3064,3,8,21
22,22,3,10890,N(C(=O)c1nnc2ccccc2c1N)c1ncc2OCN(c2c1)CC(F)F,1.0,41,178.4,1,184.04481925200005,1.9698000000000009,Nc1c(C(=O)Nc2cc3c(cn2)OCN3CC(F)F)nnc2ccccc12,372.11463012800004,2.2807000000000004,3,8,22
23,23,1,5653,N(C(=O)c1nnc2ccccc2c1N)c1cc2CN(C(=O)c2cn1)CCC,1.0,41,92.2,1,174.07931294,1.9142000000000008,CCCN1Cc2cc(NC(=O)c3nnc4ccccc4c3N)ncc2C1=O,362.149123816,2.2251000000000003,3,8,23
24,24,2,6519,N(C(=O)c1nnc2ccccc2c1N)c1cc(N(C)S(=O)(=O)CC)cn1C,1.0,43,114.8,1,200.061948624,1.2778,CCS(=O)(=O)N(C)c1cc(NC(=O)c2nnc3ccccc3c2N)n(C)c1,388.1317595,1.5886999999999998,3,9,24
25,25,1,6094,N(C(=O)c1nnc2ccccc2c1N)c1cc2CCNCCC(=O)c2cc1,1.0,35,99.5,1,173.084063972,1.8719000000000008,Nc1c(C(=O)Nc2ccc3c(c2)CCNCCC3=O)nnc2ccccc12,361.153874848,2.1828000000000003,4,7,25
26,26,3,4752,N(C(=O)c1nnc2ccccc2c1N)c1ncc2CN(CCc2n1)CC(F)(F)F,1.0,39,79.3,1,215.06703191600005,1.8638,Nc1c(C(=O)Nc2ncc3c(n2)CCN(CC(F)(F)F)C3)nnc2ccccc12,403.13684279200004,2.1746999999999996,3,8,26
27,27,1,7654,N(C(=O)c1nnc2ccccc2c1N)c1cc2CN(C(=O)c2s1)C(=O)C,1.0,43,122.2,1,179.00409939999994,1.7172,CC(=O)N1Cc2cc(NC(=O)c3nnc4ccccc4c3N)sc2C1=O,367.07391027599994,2.0281,3,8,27
