generated_id,smiles,reward,depth,elapsed_time,is_through_filter,SINCHO_MW,SINCHO_LogP
0,NC(=O)c1nnc2cc(ccc2c1N)c1ccccc1,0.0,24,0.6,1,76.03130012800003,1.6669999999999998
2,NC(=O)c1nnc2cc(ccc2c1N)S(=O)(=O)CCC,0.0,24,0.6,1,106.008850432,0.18369999999999992
3,NC(=O)c1nnc2cc(ccc2c1N)N1CCN(CC1)c1cccc(c1)Cl,1.0,24,0.6,1,194.061076032,1.98
4,NC(=O)c1nnc2cc(ccc2c1N)Oc1c(C)cccc1,0.0,24,0.6,1,106.041864812,2.1007200000000004
6,NC(=O)c1nnc2cc(ccc2c1N)C(=O)Nc1ccccc1,0.16332546930573785,24,0.6,1,119.03711378000006,1.2523
7,NC(=O)c1nnc2cc(ccc2c1N)S(=O)(=O)CCC,0.0,24,0.6,1,106.008850432,0.18369999999999992
8,NC(=O)c1nnc2cc(ccc2c1N)Nc1ccc(Cl)cc1,0.3082321010155354,24,0.6,1,125.003226808,2.3970000000000007
9,NC(=O)c1nnc2cc(ccc2c1N)OC1CCCCC1,0.0,24,0.6,1,98.07316494,1.7115000000000005
10,NC(=O)c1nnc2cc(ccc2c1N)c1cccnc1,0.0,24,0.6,1,77.02654909600002,1.0619999999999998
11,NC(=O)c1nnc2cc(ccc2c1N)C(=O)c1ccc(OC)c(c1)Cl,1.0,24,0.6,1,167.99780708,1.8930000000000002
13,NC(=O)c1nnc2cc(ccc2c1N)N1CCN(CC1)c1cccc(Cl)c1,1.0,24,0.6,1,194.061076032,1.98
14,NC(=O)c1nnc2cc(ccc2c1N)OC1CCN(C)CC1,0.0,24,0.6,1,113.08406397200005,0.473
15,NC(=O)c1nnc2cc(ccc2c1N)c1ccc(cc1)F,0.0,24,0.6,1,94.02187831600006,1.8061000000000003
16,NC(=O)c1nnc2cc(ccc2c1N)Cc1cccc(OC)c1,0.2169867066065071,24,0.6,1,120.057514876,1.5994000000000002
17,NC(=O)c1nnc2cc(ccc2c1N)S(=O)(=O)CCN1CCCCCC1,1.0,24,0.6,1,189.08234972000005,0.6496999999999998
18,NC(=O)c1nnc2cc(ccc2c1N)Nc1ccc(cc1)C,0.0,24,0.6,1,105.05784922400002,2.05202
19,NC(=O)c1nnc2cc(ccc2c1N)Oc1ccc(cc1)CN1CCCCCC1,0.0,24,0.6,1,203.13101416400005,3.1683000000000026
20,NC(=O)c1nnc2cc(ccc2c1N)c1cnc(cc1)CN1CCN(C)CC1,1.0,24,0.6,1,189.12659748000007,0.8093999999999998
21,NC(=O)c1nnc2cc(ccc2c1N)C#N,0.0,24,0.6,1,24.995248968,-0.12832
22,NC(=O)c1nnc2cc(ccc2c1N)S(=O)(=O)c1ccccc1,0.6676802683050762,24,0.6,1,139.993200368,0.8328000000000001
24,NC(=O)c1nnc2cc(ccc2c1N)Oc1ccc(cc1)Cl,0.31582490686387843,24,0.6,1,125.98724239600003,2.445700000000001
25,NC(=O)c1nnc2cc(ccc2c1N)N1CCN(c2ccc(Cl)cc2)CC1,1.0,25,0.7,1,194.061076032,1.98
26,NC(=O)c1nnc2cc(ccc2c1N)Nc1cccc(c1)F,0.0,25,0.7,1,109.032777348,1.8827000000000003
28,NC(=O)c1nnc2cc(ccc2c1N)N(CCN(C)C)Cc1cccc(F)c1,1.0,25,0.7,1,194.1219267,1.7073
30,NC(=O)c1nnc2cc(ccc2c1N)N1CCN(Cc2cccc(F)c2)CC1,1.0,25,0.7,1,192.106276636,1.4612999999999996
31,NC(=O)c1nnc2cc(ccc2c1N)Nc1ccccc1,0.0,25,0.7,1,91.04219916000002,1.7436000000000003
