cluster atom distance log(1/ds) delta_sa es
cluster9.pqr 20_N1 9.272 0.577 1.201 1.82087
cluster16.pqr 6_C9 2.276 3.415 1.344 2.05886
cluster16.pqr 4_C8 2.599 3.415 1.402 2.12589
cluster15.pqr 20_N1 5.373 3.346 1.201 2.26175
cluster9.pqr 4_C8 12.738 0.577 1.402 2.28843
cluster4.pqr 14_N14 6.512 2.918 1.277 2.29296
cluster14.pqr 4_C8 6.414 2.791 1.402 2.32019
cluster14.pqr 6_C9 7.471 2.791 1.344 2.39112
cluster15.pqr 4_C8 6.083 3.346 1.402 2.45357
cluster10.pqr 6_C9 6.728 3.396 1.344 2.49826
cluster4.pqr 10_C11 7.476 2.918 1.502 2.52446
cluster10.pqr 4_C8 6.858 3.396 1.402 2.54598
cluster25.pqr 4_C8 17.223 0.23 1.402 2.63284
cluster11.pqr 6_C9 7.732 3.518 1.344 2.63525
cluster11.pqr 4_C8 7.469 3.518 1.402 2.64373
cluster25.pqr 6_C9 18.12 0.23 1.344 2.68785
cluster13.pqr 20_N1 12.067 2.733 1.201 2.74694
cluster5.pqr 20_N1 8.638 4.009 1.201 2.78697
cluster5.pqr 14_N14 8.234 4.009 1.277 2.79224
cluster8.pqr 6_C9 8.414 3.833 1.344 2.79788
cluster8.pqr 8_C10 8.584 3.833 1.32 2.80022
cluster13.pqr 4_C8 11.682 2.733 1.402 2.82937
cluster24.pqr 20_N1 20.07 0.368 1.201 2.83789
cluster12.pqr 20_N1 11.758 3.201 1.201 2.85662
cluster24.pqr 4_C8 19.596 0.368 1.402 2.91148
cluster12.pqr 4_C8 11.126 3.201 1.402 2.91428
cluster6.pqr 20_N1 9.589 4.383 1.201 2.99426
cluster6.pqr 14_N14 10.842 4.383 1.277 3.16521
cluster1.pqr 14_N14 11.865 4.191 1.277 3.21008
cluster21.pqr 6_C9 13.735 3.707 1.344 3.2924
cluster23.pqr 6_C9 16.3 2.889 1.344 3.30342
cluster23.pqr 4_C8 16.167 2.889 1.402 3.32482
cluster21.pqr 4_C8 13.9 3.707 1.402 3.34359
cluster1.pqr 10_C11 11.936 4.191 1.502 3.35227
cluster2.pqr 20_N1 15.788 3.876 1.201 3.46217
cluster22.pqr 4_C8 14.47 3.959 1.402 3.47606
cluster22.pqr 6_C9 15.051 3.959 1.344 3.49947
cluster2.pqr 14_N14 16.239 3.876 1.277 3.55294
cluster3.pqr 20_N1 18.158 3.832 1.201 3.68596
cluster3.pqr 14_N14 19.008 3.832 1.277 3.81665
cluster18.pqr 4_C8 24.945 2.39 1.402 4.05295
cluster18.pqr 6_C9 25.657 2.39 1.344 4.08947
cluster20.pqr 6_C9 25.44 2.776 1.344 4.18337
cluster20.pqr 4_C8 25.096 2.776 1.402 4.18367
cluster17.pqr 6_C9 22.245 4.023 1.344 4.23802
cluster19.pqr 6_C9 23.868 3.66 1.344 4.29148
cluster17.pqr 4_C8 22.609 4.023 1.402 4.30906
cluster19.pqr 4_C8 23.822 3.66 1.402 4.3216
cluster7.pqr 6_C9 35.112 3.817 1.344 5.46289
cluster7.pqr 4_C8 34.769 3.817 1.402 5.46327
